School,Sector,Type,Authority,SchoolGender,AffiliationType,Affiliation,MāoriAffiliation,RegionalCouncil,TerritorialAuthority,Takiwa,EQI
Holy Cross School (Miramar),Primary,Full Primary,State: Integrated,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Wellington,Wellington,Te Tai Runga,423
Holy Cross School (Papatoetoe),Primary,Full Primary,State: Integrated,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Auckland,Auckland: Otara-Papatoetoe,Te Tai Raro,450
Holy Family School (Porirua),Primary,Contributing,State: Integrated,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Wellington,Porirua,Te Tai Runga,493
Holy Family School (Wanaka),Primary,Full Primary,State: Integrated,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Otago,Queenstown-Lakes,Te Tai Runga,386
Holy Trinity Catholic Primary School,Primary,Full Primary,State: Integrated,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Auckland,Auckland: Papakura,Te Tai Raro,409
Homai School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Manurewa,Te Tai Raro,515
Hoon Hay Te Kura Kōaka,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Christchurch,Te Tai Runga,415
Hope School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Tasman,Tasman,Te Tai Runga,420
Hora Hora School (Te Mai),Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Whangarei,Te Tai Raro,536
Horahora School (Cambridge),Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waipa,Te Tai Whenua,456
Horeke School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Far North,Te Tai Raro,552
Horizon School,Composite,Composite (Year 1-15),State: Integrated,Co-Ed,Religious Affiliation,Non-Denominational,Not Applicable,Auckland,Auckland: Rodney,Te Tai Raro,437
Hornby High School,Secondary,Secondary (Year 7-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Christchurch,Te Tai Runga,497
Hornby Primary School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Christchurch,Te Tai Runga,498
Horohoro School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Rotorua,Te Tai Whenua,535
Hororata School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Selwyn,Te Tai Runga,436
Horotiu School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waikato,Te Tai Whenua,462
Horowhenua College,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Horowhenua,Te Tai Runga,494
Horsham Downs School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waikato,Te Tai Whenua,394
Houghton Valley School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Wellington,Te Tai Runga,370
Howick College,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Howick,Te Tai Raro,430
Howick Intermediate,Primary,Intermediate,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Howick,Te Tai Raro,434
Howick Primary School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Howick,Te Tai Raro,426
Huanui College,Secondary,Secondary (Year 7-15),Private: Fully Reg.,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Whangarei,Te Tai Raro,NA
Huapai District School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Rodney,Te Tai Raro,411
Huia Range School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Tararua,Te Tai Runga,527
Huiakama School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Taranaki,Stratford,Te Tai Whenua,473
Huirangi School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Taranaki,New Plymouth,Te Tai Whenua,473
Hukanui School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Hamilton,Te Tai Whenua,398
Hukarere Girls’ College,Secondary,Secondary (Year 9-15),State: Integrated,Single Sex-Girls,Religious Affiliation,Anglican,Not Applicable,Hawke's Bay,Hastings,Te Tai Whenua,545
Hukerenui School Years 1-8,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Whangarei,Te Tai Raro,477
Hunterville Consolidated School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Rangitikei,Te Tai Whenua,455
Huntley School (Marton),Primary,Full Primary,Private: Fully Reg.,Co-Ed,Religious Affiliation,Anglican,Not Applicable,Manawatu-Whanganui,Rangitikei,Te Tai Whenua,NA
Huntly College,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waikato,Te Tai Whenua,550
Huntly School (Waikato),Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waikato,Te Tai Whenua,543
Huntly West School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Waikato,Te Tai Whenua,557
Hunua School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Franklin,Te Tai Raro,440
Hurunui College,Composite,Composite (Year 1-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Hurunui,Te Tai Runga,469
Hurupaki School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Whangarei,Te Tai Raro,436
Hutt Central School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Lower Hutt,Te Tai Runga,393
Hutt Intermediate,Primary,Intermediate,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Lower Hutt,Te Tai Runga,414
Hutt International Boys' School,Secondary,Secondary (Year 7-15),State: Integrated,Single Sex-Boys,Religious Affiliation,Anglican,Not Applicable,Wellington,Upper Hutt,Te Tai Runga,365
Hutt Valley High School,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Wellington,Lower Hutt,Te Tai Runga,424
Hāpuku School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Kaikoura,Te Tai Runga,525
Hōhepa School,Composite,Composite (Year 1-15),Private: Fully Reg.,Co-Ed,Organisational Affiliation,Rudolf Steiner,Not Applicable,Hawke's Bay,Napier,Te Tai Whenua,NA
Ilam School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Christchurch,Te Tai Runga,390
Ilminster Intermediate,Primary,Intermediate,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Gisborne,Gisborne,Te Tai Whenua,510
Inglewood High School,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Taranaki,New Plymouth,Te Tai Whenua,477
Inglewood School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Taranaki,New Plymouth,Te Tai Whenua,477
Insoll Avenue School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Hamilton,Te Tai Whenua,543
Invercargill Middle School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Southland,Invercargill,Te Tai Runga,485
