School,Sector,Type,Authority,SchoolGender,AffiliationType,Affiliation,MāoriAffiliation,RegionalCouncil,TerritorialAuthority,Takiwa,EQI
Heretaunga Intermediate,Primary,Intermediate,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Hawke's Bay,Hastings,Te Tai Whenua,489
Hereworth School,Primary,Full Primary,Private: Fully Reg.,Single Sex-Boys,Religious Affiliation,Anglican,Not Applicable,Hawke's Bay,Hastings,Te Tai Whenua,NA
Heriot School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Otago,Clutha,Te Tai Runga,436
Highfield School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Timaru,Te Tai Runga,477
Highlands Intermediate,Primary,Intermediate,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Taranaki,New Plymouth,Te Tai Whenua,443
Hikuai School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Thames-Coromandel,Te Tai Whenua,442
Hikurangi School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Northland,Whangarei,Te Tai Raro,525
Hikutaia School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Thames-Coromandel,Te Tai Whenua,473
Hillcrest High School,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Hamilton,Te Tai Whenua,449
Hillcrest Normal School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Hamilton,Te Tai Whenua,401
Hillmorton High School,Secondary,Secondary (Year 7-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Christchurch,Te Tai Runga,473
Hillpark School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Manurewa,Te Tai Raro,425
Hillsborough School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Puketapapa,Te Tai Raro,374
Hillside Primary School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Southland,Southland,Te Tai Runga,446
Hilltop School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Taupo,Te Tai Whenua,421
Hillview Christian School,Composite,Composite (Year 1-15),State: Integrated,Co-Ed,Religious Affiliation,Non-Denominational,Not Applicable,Canterbury,Christchurch,Te Tai Runga,420
Hinds School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Canterbury,Ashburton,Te Tai Runga,437
Hingaia Peninsula School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Papakura,Te Tai Raro,381
Hinuera School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Waikato,Matamata-Piako,Te Tai Whenua,433
Hira School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Nelson,Nelson,Te Tai Runga,434
Hiruharama School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Gisborne,Gisborne,Te Tai Whenua,543
Hiwinui School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Manawatu,Te Tai Whenua,409
Hobsonville Point Primary School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Upper Harbour,Te Tai Raro,375
Hobsonville Point Secondary School,Secondary,Secondary (Year 9-15),State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Upper Harbour,Te Tai Raro,434
Hobsonville School,Primary,Full Primary,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Auckland,Auckland: Upper Harbour,Te Tai Raro,399
Hokitika Primary School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,West Coast,Westland,Te Tai Runga,480
Hokowhitu School,Primary,Contributing,State: Not integrated,Co-Ed,No Affiliation,Not Applicable,Not Applicable,Manawatu-Whanganui,Palmerston North,Te Tai Whenua,425
Holy Cross Catholic School (Henderson),Primary,Full Primary,State: Integrated,Co-Ed,Religious Affiliation,Roman Catholic,Not Applicable,Auckland,Auckland: Henderson-Massey,Te Tai Raro,421
