school,long,lat,x,y
Howick Intermediate,174.918246,-36.89969,1770910.922146194,5914537.076734828
Howick Primary School,174.915936,-36.897739,1770709.4328562203,5914757.67462852
Huapai District School,174.536946,-36.774074,1737159.6469420413,5929088.385688994
Hunua School,175.074808,-37.079793,1784426.276824067,5894262.049753604
Jean Batten School,174.814316,-36.973939,1761493.3132989036,5906480.503909718
Kaiaua School,175.298105,-37.09972,1804224.0570101654,5891593.993228629
Kaipara Flats School,174.545885,-36.408373,1738610.0901408119,5969645.451888761
Karaka School,174.902942,-37.125285,1769046.6091219718,5889534.51645074
Kaukapakapa School,174.494878,-36.617883,1733675.3953117707,5946475.455856471
Kauri Park School,174.69842,-36.805482,1751509.1299884978,5925360.226904124
Kaurilands School,174.65451,-36.928233,1747355.7808153513,5911810.449422909
Kedgley Intermediate,174.834163,-36.976891,1763253.765294164,5906119.139183324
Kelston Intermediate,174.663896,-36.897624,1748251.040065399,5915191.808348194
Kelston School,174.665451,-36.903467,1748378.2824874986,5914541.141463943
Kelvin Road School,174.959609,-37.063363,1774222.8936766894,5896302.477120813
Moanaroa School,174.82739,-36.973509,1762658.0627630437,5906505.958617017
Kohimarama School,174.837156,-36.854781,1763781.1999530967,5919661.827080189
Konini School (Auckland),174.64289,-36.927233,1746322.699603675,5911939.292656483
Koru School,174.803964,-36.958267,1760604.7224153406,5908236.787199086
Kōwhai Intermediate,174.748563,-36.872187,1755847.116762153,5917879.006443185
Laingholm School,174.627211,-36.962451,1744859.4418138245,5908055.990841186
Leabank School,174.886553,-37.034195,1767791.2695207787,5899670.1442841245
Leigh School,174.803596,-36.291113,1761962.369884544,5982252.9543930795
Lincoln Heights School,174.619682,-36.84487,1744410.6278277442,5921112.311645612
Long Bay School,174.734597,-36.691084,1754966.5682947226,5937993.9523021355
Mairangi Bay School,174.747386,-36.744593,1756000.9447390223,5932036.761095205
Mangatangi School,175.204623,-37.199817,1795657.2977572775,5880684.414344978
Mangatawhiri School,175.12297,-37.213804,1788374.9989676797,5879298.008327051
Maangere Bridge School,174.786866,-36.946367,1759107.1300793476,5909585.752773287
Mangere Central School,174.790515,-36.974111,1759374.2200490888,5906501.521767855
Māngere East School,174.825119,-36.964508,1762475.0366296973,5907508.481964131
Manuka Primary School,174.716925,-36.774831,1753221.0706662708,5928731.270133587
Royal Oak Intermediate School,174.774516,-36.915792,1758070.501914347,5912998.5048486255
Manurewa East School,174.908655,-37.02227,1769783.788572548,5900954.002410999
Manurewa Intermediate,174.885516,-37.022515,1767724.7201055663,5900967.874800434
Manurewa Central School,174.896027,-37.020492,1768664.2868607335,5901173.740238518
Manurewa South School,174.896078,-37.033073,1768640.9968448603,5899777.7803442925
Manurewa West School,174.886906,-37.024393,1767844.245534255,5900757.057876598
Maraetai Beach School,175.036926,-36.878782,1781535.7562143626,5916637.592738753
Maramarua School,175.227785,-37.251032,1797579.4347592196,5874953.486989292
Marist School (Mt Albert),174.725359,-36.880871,1753761.3815438226,5916953.193978601
Marist Catholic School (Herne Bay),174.735627,-36.851308,1754736.155125829,5920216.471659474
Marlborough School,174.730623,-36.785858,1754421.4755816613,5927485.868871447
Marshall Laing School,174.718233,-36.916178,1753055.7186914275,5913047.502593609
Massey Primary School,174.600248,-36.839541,1742687.6701574312,5921732.730512667
Matakana School,174.715127,-36.355014,1753891.411765426,5975308.509922745
Matipo Road School,174.641103,-36.837366,1746334.970021951,5921912.228459265
Mauku School,174.820835,-37.205572,1761580.9208019052,5880769.665735468
Maungawhau School,174.754176,-36.891909,1756307.221919089,5915681.755615104
May Road School,174.730592,-36.915293,1754158.5018138117,5913125.780356733
Mayfield School (Auckland),174.886825,-36.952764,1767994.5579119301,5908704.423645021
Meadowbank School,174.819916,-36.874784,1762201.8144597118,5917471.99571754
Mellons Bay School,174.931409,-36.886362,1772113.7729607886,5915992.137606226
Te Paina School,175.057211,-37.27622,1782388.8320355047,5872501.310681982
Meremere School,175.073248,-37.317894,1783709.3782362097,5867846.1777805155
Milford School (Auckland),174.76114,-36.775003,1757166.885768598,5928640.460577965
Monte Cecilia Catholic School,174.745712,-36.927969,1755479.7364076707,5911694.874629926
Mt Eden Normal School,174.756557,-36.876971,1756549.9070147027,5917335.160348272
Mt Richmond School,174.841867,-36.93942,1764019.9221753273,5910263.253205877
Mountain View School,174.785756,-36.954677,1758991.004641209,5908665.632773178
Mt Albert School,174.731512,-36.878118,1754315.3157560858,5917248.694813368
Mt Carmel School (Meadowbank),174.824908,-36.87333,1762649.8579998633,5917624.816772567
Mt Roskill Intermediate,174.744698,-36.910271,1755425.3446266768,5913660.053611379
Mt Roskill Primary School,174.748274,-36.911446,1755741.5484846677,5913523.857835608
Mulberry Grove School,175.494822,-36.312636,1823982.8556436785,5978485.903945048
Murrays Bay Intermediate,174.744644,-36.73448,1755776.5685154782,5933163.193687659
Murrays Bay School,174.746691,-36.733044,1755962.2639651375,5933319.1759379
Macleans Primary School,174.912216,-36.888944,1770397.5050048148,5915740.119271499
New Lynn School,174.681073,-36.914497,1749748.620419946,5913293.0028226655
New Windsor School,174.712845,-36.907107,1752593.803842471,5914062.524482023
Newmarket School,174.774186,-36.870562,1758134.4164900917,5918017.150250284
Newton Central School,174.751636,-36.862514,1756140.723652256,5918947.159604128
Nga Iwi School,174.802698,-36.97261,1760461.884047557,5906647.5945988465
Northcote Intermediate,174.745657,-36.799157,1755736.128208375,5925986.044964546
Northcote School (Auckland),174.742874,-36.809976,1755465.94460771,5924790.268971983
Northcross Intermediate,174.725735,-36.715788,1754125.4270374812,5935267.52649614
