Area,Age,Sex,Year at 30 June,Value,Flags
"Taranaki","0-14 Years","Male","1999",13300,
"Taranaki","0-14 Years","Male","2000",13100,
"Taranaki","0-14 Years","Male","2001",12900,
"Taranaki","0-14 Years","Male","2002",12600,
"Taranaki","0-14 Years","Male","2003",12400,
"Taranaki","0-14 Years","Male","2004",12200,
"Taranaki","0-14 Years","Male","2005",12100,
"Taranaki","0-14 Years","Male","2006",11900,
"Taranaki","0-14 Years","Male","2007",11800,
"Taranaki","0-14 Years","Male","2008",11700,
"Taranaki","0-14 Years","Male","2009",11800,
"Taranaki","0-14 Years","Male","2010",12000,
"Taranaki","0-14 Years","Male","2011",12200,
"Taranaki","0-14 Years","Male","2012",12300,
"Taranaki","0-14 Years","Male","2013",12400,
"Taranaki","0-14 Years","Male","2014",12400,
"Taranaki","0-14 Years","Male","2015",12500,
"Taranaki","0-14 Years","Male","2016",12700,
"Taranaki","0-14 Years","Male","2017",12900,
"Taranaki","0-14 Years","Male","2018",13000,
"Taranaki","0-14 Years","Male","2019",13300,
"Taranaki","0-14 Years","Male","2020",13400,
"Taranaki","0-14 Years","Female","1996",13000,
"Taranaki","0-14 Years","Female","1997",12900,
"Taranaki","0-14 Years","Female","1998",12800,
"Taranaki","0-14 Years","Female","1999",12600,
"Taranaki","0-14 Years","Female","2000",12400,
"Taranaki","0-14 Years","Female","2001",12100,
"Taranaki","0-14 Years","Female","2002",12000,
"Taranaki","0-14 Years","Female","2003",11700,
"Taranaki","0-14 Years","Female","2004",11500,
"Taranaki","0-14 Years","Female","2005",11300,
"Taranaki","0-14 Years","Female","2006",11200,
"Taranaki","0-14 Years","Female","2007",11100,
"Taranaki","0-14 Years","Female","2008",11100,
"Taranaki","0-14 Years","Female","2009",11200,
"Taranaki","0-14 Years","Female","2010",11400,
"Taranaki","0-14 Years","Female","2011",11500,
"Taranaki","0-14 Years","Female","2012",11700,
"Taranaki","0-14 Years","Female","2013",11700,
"Taranaki","0-14 Years","Female","2014",11700,
"Taranaki","0-14 Years","Female","2015",11800,
"Taranaki","0-14 Years","Female","2016",11900,
"Taranaki","0-14 Years","Female","2017",11900,
"Taranaki","0-14 Years","Female","2018",12100,
"Taranaki","0-14 Years","Female","2019",12300,
"Taranaki","0-14 Years","Female","2020",12400,
"Taranaki","0-14 Years","Total people, sex","1996",26800,
"Taranaki","0-14 Years","Total people, sex","1997",26500,
"Taranaki","0-14 Years","Total people, sex","1998",26300,
"Taranaki","0-14 Years","Total people, sex","1999",25900,
"Taranaki","0-14 Years","Total people, sex","2000",25500,
"Taranaki","0-14 Years","Total people, sex","2001",25000,
"Taranaki","0-14 Years","Total people, sex","2002",24600,
"Taranaki","0-14 Years","Total people, sex","2003",24200,
"Taranaki","0-14 Years","Total people, sex","2004",23800,
"Taranaki","0-14 Years","Total people, sex","2005",23400,
"Taranaki","0-14 Years","Total people, sex","2006",23100,
"Taranaki","0-14 Years","Total people, sex","2007",22900,
"Taranaki","0-14 Years","Total people, sex","2008",22800,
"Taranaki","0-14 Years","Total people, sex","2009",23000,
"Taranaki","0-14 Years","Total people, sex","2010",23400,
"Taranaki","0-14 Years","Total people, sex","2011",23700,
"Taranaki","0-14 Years","Total people, sex","2012",23900,
"Taranaki","0-14 Years","Total people, sex","2013",24100,
"Taranaki","0-14 Years","Total people, sex","2014",24100,
"Taranaki","0-14 Years","Total people, sex","2015",24300,
"Taranaki","0-14 Years","Total people, sex","2016",24600,
"Taranaki","0-14 Years","Total people, sex","2017",24800,
"Taranaki","0-14 Years","Total people, sex","2018",25100,
"Taranaki","0-14 Years","Total people, sex","2019",25600,
"Taranaki","0-14 Years","Total people, sex","2020",25700,
"Hawke's Bay","0-14 Years","Male","1996",18600,
"Hawke's Bay","0-14 Years","Male","1997",18600,
"Hawke's Bay","0-14 Years","Male","1998",18700,
"Hawke's Bay","0-14 Years","Male","1999",18600,
"Hawke's Bay","0-14 Years","Male","2000",18600,
"Hawke's Bay","0-14 Years","Male","2001",18500,
"Hawke's Bay","0-14 Years","Male","2002",18300,
"Hawke's Bay","0-14 Years","Male","2003",18100,
"Hawke's Bay","0-14 Years","Male","2004",18000,
"Hawke's Bay","0-14 Years","Male","2005",17800,
"Hawke's Bay","0-14 Years","Male","2006",17700,
"Hawke's Bay","0-14 Years","Male","2007",17600,
"Hawke's Bay","0-14 Years","Male","2008",17500,
"Hawke's Bay","0-14 Years","Male","2009",17600,
"Hawke's Bay","0-14 Years","Male","2010",17700,
"Hawke's Bay","0-14 Years","Male","2011",17700,
"Hawke's Bay","0-14 Years","Male","2012",17600,
"Hawke's Bay","0-14 Years","Male","2013",17400,
"Hawke's Bay","0-14 Years","Male","2014",17500,
"Hawke's Bay","0-14 Years","Male","2015",17500,
"Hawke's Bay","0-14 Years","Male","2016",17600,
"Hawke's Bay","0-14 Years","Male","2017",17800,
"Hawke's Bay","0-14 Years","Male","2018",18000,
"Hawke's Bay","0-14 Years","Male","2019",18200,
"Hawke's Bay","0-14 Years","Male","2020",18200,
"Hawke's Bay","0-14 Years","Female","1996",17500,
"Hawke's Bay","0-14 Years","Female","1997",17600,
"Hawke's Bay","0-14 Years","Female","1998",17600,
"Hawke's Bay","0-14 Years","Female","1999",17500,
"Hawke's Bay","0-14 Years","Female","2000",17400,
"Hawke's Bay","0-14 Years","Female","2001",17400,
"Hawke's Bay","0-14 Years","Female","2002",17400,
"Hawke's Bay","0-14 Years","Female","2003",17200,
"Hawke's Bay","0-14 Years","Female","2004",17100,
"Hawke's Bay","0-14 Years","Female","2005",17000,
"Hawke's Bay","0-14 Years","Female","2006",16900,
"Hawke's Bay","0-14 Years","Female","2007",16800,
"Hawke's Bay","0-14 Years","Female","2008",16800,
"Hawke's Bay","0-14 Years","Female","2009",16900,
"Hawke's Bay","0-14 Years","Female","2010",17100,
"Hawke's Bay","0-14 Years","Female","2011",17200,
"Hawke's Bay","0-14 Years","Female","2012",17100,
"Hawke's Bay","0-14 Years","Female","2013",17100,
"Hawke's Bay","0-14 Years","Female","2014",17200,
"Hawke's Bay","0-14 Years","Female","2015",17200,
"Hawke's Bay","0-14 Years","Female","2016",17300,
"Hawke's Bay","0-14 Years","Female","2017",17500,
"Hawke's Bay","0-14 Years","Female","2018",17700,
"Hawke's Bay","0-14 Years","Female","2019",17800,
"Hawke's Bay","0-14 Years","Female","2020",18000,
"Hawke's Bay","0-14 Years","Total people, sex","1996",36100,
"Hawke's Bay","0-14 Years","Total people, sex","1997",36200,
"Hawke's Bay","0-14 Years","Total people, sex","1998",36300,
"Hawke's Bay","0-14 Years","Total people, sex","1999",36100,
"Hawke's Bay","0-14 Years","Total people, sex","2000",36000,
"Hawke's Bay","0-14 Years","Total people, sex","2001",35900,
"Hawke's Bay","0-14 Years","Total people, sex","2002",35700,
"Hawke's Bay","0-14 Years","Total people, sex","2003",35300,
"Hawke's Bay","0-14 Years","Total people, sex","2004",35100,
"Hawke's Bay","0-14 Years","Total people, sex","2005",34900,
"Hawke's Bay","0-14 Years","Total people, sex","2006",34600,
"Hawke's Bay","0-14 Years","Total people, sex","2007",34400,
"Hawke's Bay","0-14 Years","Total people, sex","2008",34300,
"Hawke's Bay","0-14 Years","Total people, sex","2009",34500,
"Hawke's Bay","0-14 Years","Total people, sex","2010",34900,
"Hawke's Bay","0-14 Years","Total people, sex","2011",34900,
"Hawke's Bay","0-14 Years","Total people, sex","2012",34700,
"Hawke's Bay","0-14 Years","Total people, sex","2013",34500,
"Hawke's Bay","0-14 Years","Total people, sex","2014",34700,
"Hawke's Bay","0-14 Years","Total people, sex","2015",34700,
"Hawke's Bay","0-14 Years","Total people, sex","2016",35000,
"Hawke's Bay","0-14 Years","Total people, sex","2017",35300,
"Hawke's Bay","0-14 Years","Total people, sex","2018",35700,
"Hawke's Bay","0-14 Years","Total people, sex","2019",36000,
"Hawke's Bay","0-14 Years","Total people, sex","2020",36300,
"Whanganui","0-14 Years","Male","1996",8900,
"Whanganui","0-14 Years","Male","1997",8800,
"Whanganui","0-14 Years","Male","1998",8700,
"Whanganui","0-14 Years","Male","1999",8500,
"Whanganui","0-14 Years","Male","2000",8400,
"Whanganui","0-14 Years","Male","2001",8200,
"Whanganui","0-14 Years","Male","2002",8000,
"Whanganui","0-14 Years","Male","2003",7800,
"Whanganui","0-14 Years","Male","2004",7500,
"Whanganui","0-14 Years","Male","2005",7300,
"Whanganui","0-14 Years","Male","2006",7200,
"Whanganui","0-14 Years","Male","2007",7000,
"Whanganui","0-14 Years","Male","2008",6900,
"Whanganui","0-14 Years","Male","2009",6900,
"Whanganui","0-14 Years","Male","2010",6900,
"Whanganui","0-14 Years","Male","2011",6800,
"Whanganui","0-14 Years","Male","2012",6700,
"Whanganui","0-14 Years","Male","2013",6600,
"Whanganui","0-14 Years","Male","2014",6600,
"Whanganui","0-14 Years","Male","2015",6600,
"Whanganui","0-14 Years","Male","2016",6700,
"Whanganui","0-14 Years","Male","2017",6700,
"Whanganui","0-14 Years","Male","2018",6800,
"Whanganui","0-14 Years","Male","2019",6800,
"Whanganui","0-14 Years","Male","2020",6900,
"Whanganui","0-14 Years","Female","1996",8500,
"Whanganui","0-14 Years","Female","1997",8400,
"Whanganui","0-14 Years","Female","1998",8200,
"Whanganui","0-14 Years","Female","1999",8000,
"Whanganui","0-14 Years","Female","2000",7900,
"Whanganui","0-14 Years","Female","2001",7600,
"Whanganui","0-14 Years","Female","2002",7500,
"Whanganui","0-14 Years","Female","2003",7300,
"Whanganui","0-14 Years","Female","2004",7100,
"Whanganui","0-14 Years","Female","2005",7000,
"Whanganui","0-14 Years","Female","2006",6800,
"Whanganui","0-14 Years","Female","2007",6700,
"Whanganui","0-14 Years","Female","2008",6500,
"Whanganui","0-14 Years","Female","2009",6500,
"Whanganui","0-14 Years","Female","2010",6500,
"Whanganui","0-14 Years","Female","2011",6500,
"Whanganui","0-14 Years","Female","2012",6400,
"Whanganui","0-14 Years","Female","2013",6300,
"Whanganui","0-14 Years","Female","2014",6400,
"Whanganui","0-14 Years","Female","2015",6400,
"Whanganui","0-14 Years","Female","2016",6500,
"Whanganui","0-14 Years","Female","2017",6500,
"Whanganui","0-14 Years","Female","2018",6500,
"Whanganui","0-14 Years","Female","2019",6500,
"Whanganui","0-14 Years","Female","2020",6600,
"Whanganui","0-14 Years","Total people, sex","1996",17400,
"Whanganui","0-14 Years","Total people, sex","1997",17200,
"Whanganui","0-14 Years","Total people, sex","1998",17000,
"Whanganui","0-14 Years","Total people, sex","1999",16600,
"Whanganui","0-14 Years","Total people, sex","2000",16400,
"Whanganui","0-14 Years","Total people, sex","2001",15800,
"Whanganui","0-14 Years","Total people, sex","2002",15400,
"Whanganui","0-14 Years","Total people, sex","2003",15100,
"Whanganui","0-14 Years","Total people, sex","2004",14700,
"Whanganui","0-14 Years","Total people, sex","2005",14300,
"Whanganui","0-14 Years","Total people, sex","2006",14000,
"Whanganui","0-14 Years","Total people, sex","2007",13700,
"Whanganui","0-14 Years","Total people, sex","2008",13500,
"Whanganui","0-14 Years","Total people, sex","2009",13400,
"Whanganui","0-14 Years","Total people, sex","2010",13400,
"Whanganui","0-14 Years","Total people, sex","2011",13300,
"Whanganui","0-14 Years","Total people, sex","2012",13100,
"Whanganui","0-14 Years","Total people, sex","2013",13000,
"Whanganui","0-14 Years","Total people, sex","2014",13000,
"Whanganui","0-14 Years","Total people, sex","2015",13100,
"Whanganui","0-14 Years","Total people, sex","2016",13200,
"Whanganui","0-14 Years","Total people, sex","2017",13300,
"Whanganui","0-14 Years","Total people, sex","2018",13300,
"Whanganui","0-14 Years","Total people, sex","2019",13400,
"Whanganui","0-14 Years","Total people, sex","2020",13500,
"MidCentral","0-14 Years","Male","1996",19000,
"MidCentral","0-14 Years","Male","1997",18900,
"MidCentral","0-14 Years","Male","1998",18900,
"MidCentral","0-14 Years","Male","1999",18700,
"MidCentral","0-14 Years","Male","2000",18700,
"MidCentral","0-14 Years","Male","2001",18400,
"MidCentral","0-14 Years","Male","2002",18200,
"MidCentral","0-14 Years","Male","2003",18000,
"MidCentral","0-14 Years","Male","2004",18000,
"MidCentral","0-14 Years","Male","2005",17700,
"MidCentral","0-14 Years","Male","2006",17600,
"MidCentral","0-14 Years","Male","2007",17400,
"MidCentral","0-14 Years","Male","2008",17400,
"MidCentral","0-14 Years","Male","2009",17500,
"MidCentral","0-14 Years","Male","2010",17500,
"MidCentral","0-14 Years","Male","2011",17500,
"MidCentral","0-14 Years","Male","2012",17500,
"MidCentral","0-14 Years","Male","2013",17400,
"MidCentral","0-14 Years","Male","2014",17500,
"MidCentral","0-14 Years","Male","2015",17500,
"MidCentral","0-14 Years","Male","2016",17700,
"MidCentral","0-14 Years","Male","2017",17900,
"MidCentral","0-14 Years","Male","2018",18300,
"MidCentral","0-14 Years","Male","2019",18400,
"MidCentral","0-14 Years","Male","2020",18600,
"MidCentral","0-14 Years","Female","1996",18100,
"MidCentral","0-14 Years","Female","1997",18100,
"MidCentral","0-14 Years","Female","1998",18100,
"MidCentral","0-14 Years","Female","1999",18000,
"MidCentral","0-14 Years","Female","2000",17900,
"MidCentral","0-14 Years","Female","2001",17700,
"MidCentral","0-14 Years","Female","2002",17600,
"MidCentral","0-14 Years","Female","2003",17400,
"MidCentral","0-14 Years","Female","2004",17200,
"MidCentral","0-14 Years","Female","2005",17100,
"MidCentral","0-14 Years","Female","2006",17100,
"MidCentral","0-14 Years","Female","2007",16900,
"MidCentral","0-14 Years","Female","2008",16900,
"MidCentral","0-14 Years","Female","2009",17000,
"MidCentral","0-14 Years","Female","2010",16900,
"MidCentral","0-14 Years","Female","2011",17100,
"MidCentral","0-14 Years","Female","2012",16900,
"MidCentral","0-14 Years","Female","2013",16900,
"MidCentral","0-14 Years","Female","2014",16900,
"MidCentral","0-14 Years","Female","2015",16800,
"MidCentral","0-14 Years","Female","2016",16800,
"MidCentral","0-14 Years","Female","2017",17000,
"MidCentral","0-14 Years","Female","2018",17200,
"MidCentral","0-14 Years","Female","2019",17500,
"MidCentral","0-14 Years","Female","2020",17800,
"MidCentral","0-14 Years","Total people, sex","1996",37200,
"MidCentral","0-14 Years","Total people, sex","1997",37100,
"MidCentral","0-14 Years","Total people, sex","1998",37000,
"MidCentral","0-14 Years","Total people, sex","1999",36700,
"MidCentral","0-14 Years","Total people, sex","2000",36500,
"MidCentral","0-14 Years","Total people, sex","2001",36100,
"MidCentral","0-14 Years","Total people, sex","2002",35700,
"MidCentral","0-14 Years","Total people, sex","2003",35500,
"MidCentral","0-14 Years","Total people, sex","2004",35100,
"MidCentral","0-14 Years","Total people, sex","2005",34700,
"MidCentral","0-14 Years","Total people, sex","2006",34600,
"MidCentral","0-14 Years","Total people, sex","2007",34400,
"MidCentral","0-14 Years","Total people, sex","2008",34300,
"MidCentral","0-14 Years","Total people, sex","2009",34400,
"MidCentral","0-14 Years","Total people, sex","2010",34500,
"MidCentral","0-14 Years","Total people, sex","2011",34600,
"MidCentral","0-14 Years","Total people, sex","2012",34400,
"MidCentral","0-14 Years","Total people, sex","2013",34300,
"MidCentral","0-14 Years","Total people, sex","2014",34300,
"MidCentral","0-14 Years","Total people, sex","2015",34300,
"MidCentral","0-14 Years","Total people, sex","2016",34500,
"MidCentral","0-14 Years","Total people, sex","2017",34900,
"MidCentral","0-14 Years","Total people, sex","2018",35500,
"MidCentral","0-14 Years","Total people, sex","2019",35900,
"MidCentral","0-14 Years","Total people, sex","2020",36400,
"Hutt Valley","0-14 Years","Male","1996",16600,
"Hutt Valley","0-14 Years","Male","1997",16700,
"Hutt Valley","0-14 Years","Male","1998",16800,
"Hutt Valley","0-14 Years","Male","1999",16800,
"Hutt Valley","0-14 Years","Male","2000",16900,
"Hutt Valley","0-14 Years","Male","2001",16800,
"Hutt Valley","0-14 Years","Male","2002",16800,
"Hutt Valley","0-14 Years","Male","2003",16600,
"Hutt Valley","0-14 Years","Male","2004",16500,
"Hutt Valley","0-14 Years","Male","2005",16400,
"Hutt Valley","0-14 Years","Male","2006",16200,
"Hutt Valley","0-14 Years","Male","2007",16100,
"Hutt Valley","0-14 Years","Male","2008",16000,
